,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,caconda,-13.7333,15.0667,77.09,37,71,8.37,AO,1611675054
36,bluff,-46.6,168.3333,71.01,54,100,10.0,NZ,1611675054
37,hobart,-42.8794,147.3294,54.0,58,15,11.5,AU,1611675054
38,punta arenas,-53.15,-70.9167,48.2,61,20,29.93,CL,1611675047
39,broome,42.2506,-75.833,28.0,68,90,17.27,US,1611675055
40,sterling,39.0062,-77.4286,34.0,86,90,3.44,US,1611674805
41,airai,-8.9266,125.4092,60.4,100,97,2.51,TL,1611675055
42,saskylakh,71.9167,114.0833,-33.32,83,0,2.26,RU,1611675055
43,tual,-5.6667,132.75,83.25,78,100,23.0,ID,1611675055
44,tuatapere,-46.1333,167.6833,71.01,54,100,10.0,NZ,1611675055
45,lompoc,34.6391,-120.4579,37.0,93,0,5.53,US,1611675055
46,cape town,-33.9258,18.4232,75.0,56,0,26.46,ZA,1611675055
47,esperance,-33.8667,121.9,62.6,88,75,10.36,AU,1611675055
48,faanui,-16.4833,-151.75,80.56,75,59,15.7,PF,1611675055
49,carnarvon,-24.8667,113.6333,73.4,73,0,23.02,AU,1611675055
50,divnomorskoye,44.5011,38.1353,52.43,70,96,14.29,RU,1611675055
51,abadiania,-16.2042,-48.7069,82.4,51,40,11.5,BR,1611674846
52,tiksi,71.6872,128.8694,-36.33,80,95,1.32,RU,1611675056
53,mamontovo,52.7055,81.6244,9.3,95,100,13.18,RU,1611675056
54,lagoa,39.05,-27.9833,62.56,84,100,31.47,PT,1611674875
55,ararat,39.8317,44.7049,23.0,63,0,1.14,AM,1611675056
56,acaponeta,22.4964,-105.3594,70.79,48,0,2.21,MX,1611675056
57,kapaa,22.0752,-159.319,71.6,100,90,18.41,US,1611675056
58,baglung,28.2719,83.5898,49.51,52,3,4.45,NP,1611675056
59,pisco,-13.7,-76.2167,75.99,73,0,8.05,PE,1611675056
60,lebu,-37.6167,-73.65,60.58,60,0,18.66,CL,1611675057
61,mashhad,36.297,59.6062,42.8,39,0,6.91,IR,1611674954
62,aykhal,66.0,111.5,-38.76,79,0,1.5,RU,1611675057
63,penzance,50.1186,-5.5371,50.0,100,90,14.97,GB,1611675057
64,la argentina,2.1961,-75.98,74.7,56,78,3.89,CO,1611675057
65,hermanus,-34.4187,19.2345,75.0,65,12,1.99,ZA,1611675057
66,minsk,53.9,27.5667,32.0,100,90,8.95,BY,1611674784
67,dezful,32.3811,48.4058,60.55,32,0,5.84,IR,1611675058
68,boundiali,9.5217,-6.4869,97.54,9,0,6.78,CI,1611675058
69,redmond,47.674,-122.1215,35.01,92,98,2.82,US,1611675058
70,lira,2.235,32.9097,84.06,22,96,7.61,UG,1611675058
71,bathsheba,13.2167,-59.5167,82.4,61,40,24.16,BB,1611675058
72,richards bay,-28.783,32.0377,87.53,60,70,15.77,ZA,1611674889
73,luderitz,-26.6481,15.1594,72.66,58,88,28.83,NA,1611675058
74,awbari,26.5921,12.7805,71.98,20,5,10.8,LY,1611675058
75,coromandel,-18.4733,-47.2003,80.15,64,80,7.74,BR,1611675058
76,mataura,-46.1927,168.8643,71.01,54,100,10.0,NZ,1611675058
77,puerto ayora,-0.7393,-90.3518,80.6,74,75,13.8,EC,1611675058
78,general roca,-39.0333,-67.5833,77.0,25,0,10.36,AR,1611675059
79,vardo,70.3705,31.1107,26.6,80,75,33.38,NO,1611675059
80,vaini,-21.2,-175.2,77.0,94,75,10.36,TO,1611675059
81,schwedt,53.0596,14.2815,35.01,81,96,4.0,DE,1611675059
82,east london,-33.0153,27.9116,77.0,73,0,10.36,ZA,1611675059
83,porto novo,6.4965,2.6036,87.8,70,10,12.66,BJ,1611675059
84,xinzhi,36.4989,111.7047,37.81,61,100,1.88,CN,1611675059
85,baykit,61.67,96.37,-43.19,73,47,1.34,RU,1611675059
86,mount gambier,-37.8333,140.7667,53.6,66,75,11.5,AU,1611675059
87,oyem,1.5995,11.5793,89.6,51,40,0.94,GA,1611675059
88,brownsville,25.9018,-97.4975,71.6,88,90,8.16,US,1611674761
89,bredasdorp,-34.5322,20.0403,75.2,57,22,12.66,ZA,1611675059
90,san patricio,28.017,-97.5169,73.4,38,1,10.36,US,1611675059
91,ostrovnoy,68.0531,39.5131,8.53,94,100,20.33,RU,1611675060
92,new norfolk,-42.7826,147.0587,54.0,66,21,1.01,AU,1611675060
93,midleton,51.9153,-8.1805,48.99,100,75,6.91,IE,1611675060
94,clovis,36.8252,-119.7029,35.6,80,40,2.84,US,1611674843
95,te anau,-45.4167,167.7167,59.94,77,100,7.92,NZ,1611675060
96,nizhniy tsasuchey,50.5167,115.1333,-4.59,85,82,12.82,RU,1611675060
97,faya,18.3851,42.4509,62.6,72,0,9.22,SA,1611675060
98,saint george,37.1041,-113.5841,30.99,69,75,8.05,US,1611675060
99,thompson,55.7435,-97.8558,-13.0,77,75,5.75,CA,1611675060
100,kontagora,10.3999,5.4695,99.57,9,76,3.65,NG,1611675061
101,caravelas,-17.7125,-39.2481,85.46,48,5,11.05,BR,1611675061
102,miraflores,19.2167,-98.8083,55.4,54,1,2.3,MX,1611675061
103,acapulco,16.8634,-99.8901,77.0,69,1,2.57,MX,1611675061
104,spearfish,44.4908,-103.8594,18.0,92,90,4.61,US,1611675061
105,alofi,-19.0595,-169.9187,75.2,94,100,9.22,NU,1611675061
106,rikitea,-23.1203,-134.9692,79.36,72,0,13.67,PF,1611675061
107,sinamar,16.9,121.5667,72.32,93,96,4.03,PH,1611675062
108,maragogi,-9.0122,-35.2225,83.44,65,98,11.72,BR,1611675062
109,port hardy,50.6996,-127.4199,41.0,81,40,20.71,CA,1611675013
110,glace bay,46.1969,-59.957,37.0,87,75,19.57,CA,1611675062
111,port lincoln,-34.7333,135.8667,60.96,81,28,17.96,AU,1611675062
112,victoria,22.2855,114.1577,68.0,79,0,3.87,HK,1611674950
113,adrar,20.5022,-10.0711,87.17,10,0,11.95,MR,1611675062
114,tasiilaq,65.6145,-37.6368,-1.52,78,41,5.5,GL,1611675062
115,cherskiy,68.75,161.3,-39.03,81,71,3.13,RU,1611675062
116,necochea,-38.5473,-58.7368,78.01,73,98,5.99,AR,1611675014
117,fort nelson,58.8053,-122.7002,-2.2,78,90,6.91,CA,1611675014
118,dikson,73.5069,80.5464,-24.68,85,100,9.33,RU,1611675062
119,prince rupert,54.3161,-130.3201,33.8,80,1,6.91,CA,1611674891
120,markova,48.6758,24.4138,33.8,55,75,11.18,UA,1611675063
121,karratha,-20.7377,116.8463,85.75,47,10,17.96,AU,1611675063
122,nebolchi,59.1239,33.3454,33.4,93,98,11.74,RU,1611675063
123,guayaramerin,-10.8368,-65.3614,86.0,70,75,10.36,BO,1611675063
124,uchaly,54.2996,59.4521,25.23,95,100,10.16,RU,1611675063
125,pushkino,56.0172,37.8667,33.8,93,90,17.9,RU,1611675063
126,mingaora,34.7758,72.3625,44.69,48,0,6.33,PK,1611675063
127,kenai,60.5544,-151.2583,12.0,85,1,3.44,US,1611675064
128,bairnsdale,-37.8333,147.6167,57.99,83,46,1.01,AU,1611675064
129,sao filipe,14.8961,-24.4956,77.32,57,0,6.2,CV,1611675065
130,padang,-0.9492,100.3543,78.8,83,40,1.14,ID,1611675066
131,rocha,-34.4833,-54.3333,96.21,26,33,5.03,UY,1611675066
132,celestun,20.8667,-90.4,80.15,71,1,11.81,MX,1611675066
133,zabid,14.1951,43.3152,76.96,61,99,13.69,YE,1611675066
134,novyy urengoy,66.0833,76.6333,-24.56,86,100,9.75,RU,1611675066
135,castro,-24.7911,-50.0119,71.76,85,95,9.35,BR,1611675066
136,shihezi,44.3,86.0333,5.63,93,99,1.7,CN,1611675066
137,mehamn,71.0357,27.8492,26.6,80,75,39.12,NO,1611675066
138,port blair,11.6667,92.75,77.79,80,62,9.98,IN,1611675066
139,barrow,71.2906,-156.7887,-11.2,84,90,4.61,US,1611675067
140,hohhot,40.8106,111.6522,8.6,61,0,6.71,CN,1611674822
141,hualmay,-11.0964,-77.6139,76.95,63,83,10.38,PE,1611675066
142,zhangye,38.9342,100.4517,19.35,81,1,2.86,CN,1611675067
143,kodiak,57.79,-152.4072,35.6,64,1,3.44,US,1611675067
144,nanortalik,60.1432,-45.2371,18.7,85,0,9.1,GL,1611675067
145,svetlyy,54.675,20.1347,35.01,86,75,15.66,RU,1611675067
146,novaya lyalya,59.055,60.599,23.76,95,94,9.08,RU,1611675067
147,bethel,41.3712,-73.414,30.99,51,90,9.22,US,1611675067
148,kaitangata,-46.2817,169.8464,63.0,61,100,4.0,NZ,1611675067
149,viedma,-40.8135,-62.9967,75.99,50,53,10.31,AR,1611675067
150,musoma,-1.5,33.8,80.6,57,20,11.5,TZ,1611675068
151,touros,-5.1989,-35.4608,87.8,55,40,17.27,BR,1611675068
152,les cayes,18.2,-73.75,81.55,58,9,3.15,HT,1611675068
153,lokosovo,61.1333,74.8167,-5.31,91,100,11.45,RU,1611675068
154,rivera,-30.9053,-55.5508,89.08,48,99,12.84,UY,1611675068
155,mutsu,41.2894,141.2169,41.76,83,100,10.25,JP,1611675004
156,camacha,33.0833,-16.3333,66.2,72,40,10.36,PT,1611675068
157,northam,51.0333,-4.2167,48.99,95,100,14.0,GB,1611675068
158,birao,10.2849,22.7882,90.9,12,9,6.08,CF,1611675068
159,havelock,34.8791,-76.9013,50.0,100,90,2.1,US,1611675068
160,havoysund,70.9963,24.6622,26.6,86,75,31.07,NO,1611675068
161,progreso,21.2833,-89.6667,80.6,74,75,21.85,MX,1611674896
162,semey,50.4111,80.2275,9.73,93,100,9.57,KZ,1611675069
163,sandwick,60.0,-1.25,33.8,75,20,2.3,GB,1611675069
164,husavik,66.0449,-17.3389,23.0,68,75,13.8,IS,1611675069
165,samfya,-11.3649,29.5565,69.17,87,87,6.02,ZM,1611675069
166,mahur,25.1667,93.1167,52.7,71,0,1.1,IN,1611675069
167,lazaro cardenas,17.9583,-102.2,78.84,64,8,1.21,MX,1611675069
168,elko,41.0002,-115.5012,19.4,86,90,5.75,US,1611675069
169,port alfred,-33.5906,26.891,71.01,86,1,5.99,ZA,1611675069
170,zalantun,48.0,122.7167,-5.49,82,29,6.85,CN,1611675069
171,mahebourg,-20.4081,57.7,82.4,65,20,2.3,MU,1611675069
172,kholodnyy,62.7167,147.95,-19.77,83,100,3.11,RU,1611675070
173,green river,41.5286,-109.4662,8.6,92,90,11.5,US,1611675070
174,erenhot,43.6475,111.9767,0.73,87,72,2.75,CN,1611675070
175,tabou,4.423,-7.3528,82.85,72,91,7.58,CI,1611675070
176,kisangani,0.5167,25.2,81.61,67,80,1.34,CD,1611675070
177,pilot butte,50.4668,-104.4178,-16.01,69,0,10.36,CA,1611675070
178,hasaki,35.7333,140.8333,46.4,93,75,1.14,JP,1611675070
179,magistralnyy,56.1725,107.4458,-18.44,85,100,5.28,RU,1611674893
180,ahmadpur east,29.1431,71.2598,59.43,27,0,6.08,PK,1611674773
181,avarua,-21.2078,-159.775,78.8,78,63,16.11,CK,1611675070
182,samarai,-10.6167,150.6667,81.9,77,98,8.63,PG,1611675070
183,longyearbyen,78.2186,15.6401,3.2,43,0,19.57,SJ,1611675071
184,liberty,31.8335,-81.5004,71.01,94,40,10.36,US,1611675071
185,nikolskoye,59.7035,30.7861,36.0,93,90,13.42,RU,1611675071
186,fallon,39.4735,-118.7774,24.8,86,90,4.61,US,1611675071
187,watertown,42.3709,-71.1828,34.0,59,75,4.61,US,1611674889
188,nanhai,30.1282,111.7784,43.0,84,63,1.9,CN,1611675071
189,gewane,10.1664,40.6453,79.65,18,28,10.74,ET,1611675071
190,luanda,-8.8368,13.2343,84.2,65,40,12.66,AO,1611675071
191,noyabrsk,63.1994,75.4507,-20.25,88,100,14.63,RU,1611675071
192,dunedin,-45.8742,170.5036,63.0,72,100,7.0,NZ,1611675019
193,kahului,20.8947,-156.47,66.99,78,40,13.8,US,1611675072
194,kencong,-8.2833,113.3667,77.22,84,100,2.57,ID,1611675072
195,constitucion,-35.3333,-72.4167,67.71,46,2,11.1,CL,1611675072
196,gardelegen,52.5252,11.3952,37.99,71,38,3.0,DE,1611675072
197,valdivia,-39.8142,-73.2459,64.4,45,40,9.22,CL,1611675040
198,klaksvik,62.2266,-6.589,30.2,74,57,6.91,FO,1611675072
199,elizabeth city,36.2946,-76.2511,46.4,93,90,9.22,US,1611674890
200,butaritari,3.0707,172.7902,79.72,79,100,7.31,KI,1611675072
201,nguru,12.8791,10.4526,92.14,11,68,10.76,NG,1611675073
202,high rock,26.6208,-78.2833,77.0,69,40,13.8,BS,1611675073
203,mingshui,36.7167,117.5,43.0,57,100,6.02,CN,1611675073
204,san angelo,31.4638,-100.437,39.2,75,1,3.44,US,1611675073
205,rebrikha,53.0733,82.3408,8.29,95,99,11.01,RU,1611675073
206,taoudenni,22.6783,-3.9836,89.08,11,0,14.92,ML,1611675073
207,sitka,57.0531,-135.33,30.2,80,75,4.61,US,1611675073
208,homestead,25.4687,-80.4776,79.0,53,20,8.05,US,1611675073
209,kandi,11.1342,2.9386,96.42,9,61,5.66,BJ,1611675073
210,mahon,39.8885,4.2658,51.8,66,40,8.05,ES,1611675073
211,cayenne,4.9333,-52.3333,82.4,78,75,12.66,GF,1611675028
212,kruisfontein,-34.0033,24.7314,80.01,56,60,10.0,ZA,1611675074
213,lima,-12.0432,-77.0282,75.99,73,0,5.75,PE,1611675027
214,inhambane,-23.865,35.3833,87.8,66,20,12.66,MZ,1611675074
215,radebeul,51.1065,13.6605,34.0,93,75,10.36,DE,1611675074
216,constantine,36.365,6.6147,50.0,53,40,18.41,DZ,1611675074
217,paamiut,61.994,-49.6678,19.09,80,43,10.04,GL,1611675074
218,kieta,-6.2167,155.6333,79.29,81,36,6.4,PG,1611675074
219,teguise,29.0605,-13.564,73.4,56,20,21.85,ES,1611675074
220,digha,21.6833,87.55,68.94,71,2,0.74,IN,1611675074
221,toyooka,35.5333,134.8333,49.96,89,100,4.94,JP,1611675074
222,roald,62.5833,6.1333,33.8,86,75,9.22,NO,1611675074
223,muros,42.7762,-9.0603,60.01,95,100,5.01,ES,1611675074
224,ulladulla,-35.35,150.4667,66.2,100,90,12.66,AU,1611675074
225,agnibilekrou,7.1344,-3.2047,98.26,17,99,3.78,CI,1611675074
226,presidencia roque saenz pena,-26.7852,-60.4388,77.0,81,100,3.0,AR,1611674890
227,tazovskiy,67.4667,78.7,-25.85,86,100,13.58,RU,1611675075
228,narsaq,60.9167,-46.05,21.2,25,20,19.57,GL,1611675075
229,yelizovo,53.1873,158.3805,17.6,49,92,8.95,RU,1611675075
230,san vicente,-26.6167,-54.1333,73.26,84,100,5.17,AR,1611675075
231,honiara,-9.4333,159.95,79.61,83,72,7.99,SB,1611675075
232,upernavik,72.7868,-56.1549,4.3,92,100,13.78,GL,1611675075
233,yeppoon,-23.1333,150.7333,77.0,78,3,3.44,AU,1611675075
234,lhokseumawe,5.1801,97.1507,77.76,84,85,3.76,ID,1611675075
235,comodoro rivadavia,-45.8667,-67.5,64.4,29,75,20.71,AR,1611675028
236,jiazi,22.8779,116.067,61.56,83,0,15.12,CN,1611675075
237,zwedru,6.0667,-8.1281,93.07,31,41,3.62,LR,1611675076
238,flinders,-34.5833,150.8552,73.99,86,98,1.99,AU,1611675076
239,praia da vitoria,38.7333,-27.0667,66.2,77,20,29.06,PT,1611675076
240,bara,10.3744,10.7288,87.8,11,31,10.36,NG,1611675076
241,ca mau,9.1769,105.15,75.51,79,72,6.24,VN,1611675076
242,bollnas,61.3482,16.3946,12.0,82,38,3.44,SE,1611675077
243,high level,58.5169,-117.136,-4.0,84,90,2.3,CA,1611675077
244,usinsk,65.9939,57.5281,-17.79,86,94,13.44,RU,1611675077
245,tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,12.66,CA,1611675077
246,saint-philippe,-21.3585,55.7679,82.4,65,0,9.22,RE,1611675077
247,abu samrah,35.3029,37.1841,48.74,53,100,9.08,SY,1611675078
248,clyde river,70.4692,-68.5914,6.8,72,40,19.57,CA,1611675078
249,zhigansk,66.7697,123.3711,-47.88,76,86,7.31,RU,1611675078
250,phetchabun,16.25,101.0833,82.99,51,0,5.1,TH,1611675078
251,los llanos de aridane,28.6585,-17.9182,69.8,64,75,10.36,ES,1611675078
252,ulaangom,49.9811,92.0667,-14.93,76,2,1.95,MN,1611675078
253,vila velha,-20.3297,-40.2925,87.8,58,40,16.11,BR,1611675078
254,vilyuysk,63.7553,121.6247,-52.96,77,73,2.89,RU,1611675078
255,kishtwar,33.3167,75.7667,35.11,67,0,6.35,IN,1611675078
256,kolokani,13.5728,-8.0339,94.05,8,0,9.48,ML,1611675078
257,nome,64.5011,-165.4064,10.4,85,90,0.43,US,1611675078
258,dakar,14.6937,-17.4441,78.8,41,0,4.61,SN,1611674914
259,bengkulu,-3.8004,102.2655,74.95,88,100,2.53,ID,1611675079
260,pevek,69.7008,170.3133,-31.4,84,50,2.75,RU,1611675079
261,khasan,42.4308,130.6434,27.21,87,12,22.62,RU,1611675079
262,ancud,-41.8697,-73.8203,59.0,63,75,8.05,CL,1611675079
263,potsdam,52.3989,13.0657,37.0,82,80,7.31,DE,1611674964
264,shadegan,30.6497,48.6647,66.2,48,0,5.95,IR,1611675079
265,chapais,49.7834,-74.8492,8.6,78,90,2.3,CA,1611675079
266,beyneu,45.3167,55.2,32.25,92,28,16.44,KZ,1611675079
267,kidal,18.4411,1.4078,85.86,9,11,10.87,ML,1611675079
268,sarangani,5.4033,125.4636,82.2,74,98,8.41,PH,1611675079
269,mar del plata,-38.0023,-57.5575,82.0,69,53,5.75,AR,1611675080
270,svetlogorsk,52.6333,29.7333,31.86,98,100,24.02,BY,1611675080
271,kyshtovka,56.555,76.6271,1.08,93,100,10.22,RU,1611675080
272,udachnyy,66.4167,112.4,-41.64,79,27,1.97,RU,1611675072
273,viljoenskroon,-27.2084,26.9485,80.01,60,97,6.35,ZA,1611675080
274,erzin,36.9559,36.2,57.99,45,97,7.07,TR,1611675080
275,san isidro,-12.1167,-77.05,75.99,73,0,5.75,PE,1611675080
276,santiago,-33.4569,-70.6483,77.0,44,20,5.75,CL,1611674829
277,matara,5.9485,80.5353,74.03,82,71,6.2,LK,1611675081
278,maceio,-9.6658,-35.7353,84.2,70,75,12.66,BR,1611675081
279,ahuimanu,21.4447,-157.8378,75.2,73,90,16.11,US,1611675081
280,jumla,29.2747,82.1838,34.03,58,0,4.76,NP,1611675081
281,vitim,59.4511,112.5578,-32.24,80,100,2.95,RU,1611675081
282,nampula,-15.1165,39.2666,80.01,88,75,10.36,MZ,1611675081
283,cap-aux-meules,47.3821,-61.8597,33.8,93,96,12.66,CA,1611675081
284,merauke,-8.4667,140.3333,80.87,82,100,13.44,ID,1611675081
285,la orilla,17.9833,-102.2333,78.98,62,3,1.39,MX,1611675081
286,chapadinha,-3.7417,-43.3603,84.63,72,90,4.9,BR,1611675081
287,rawson,-43.3002,-65.1023,70.21,24,0,11.86,AR,1611675081
288,bayangol,50.6977,103.4656,-21.3,83,93,2.98,RU,1611675081
289,chuy,-33.6971,-53.4616,91.67,40,7,4.7,UY,1611675081
290,abha,18.2164,42.5053,62.6,72,0,9.22,SA,1611675070
291,dubai,25.2582,55.3047,73.0,60,0,9.22,AE,1611674960
292,sychevka,55.8252,34.2736,32.22,96,100,17.09,RU,1611675082
293,shingu,33.7333,135.9833,59.27,89,100,15.39,JP,1611675082
294,charters towers,-20.1,146.2667,73.0,87,96,8.25,AU,1611675082
295,hamilton,39.1834,-84.5333,43.0,81,90,12.66,US,1611675082
296,batemans bay,-35.7167,150.1833,64.0,89,100,1.01,AU,1611674938
297,terrace,54.5163,-128.6035,21.2,79,20,14.97,CA,1611674783
298,qasigiannguit,68.8193,-51.1922,12.2,67,75,3.44,GL,1611675082
299,prichard,30.7388,-88.0789,66.0,77,75,12.66,US,1611675082
300,sindor,62.8629,51.8905,30.16,99,100,6.24,RU,1611675082
301,burnie,-41.0667,145.9167,54.0,73,0,21.99,AU,1611675082
302,tonneins,44.3921,0.3124,44.01,70,0,9.22,FR,1611675083
303,iqaluit,63.7506,-68.5145,1.4,78,20,25.32,CA,1611675012
304,arraial do cabo,-22.9661,-42.0278,91.4,54,75,19.57,BR,1611675083
305,cabo san lucas,22.8909,-109.9124,51.8,82,75,8.05,MX,1611674900
306,carballo,43.213,-8.691,61.0,90,100,1.01,ES,1611675083
307,montes altos,-5.8333,-47.0667,89.6,58,40,3.44,BR,1611675083
308,bad goisern,47.6425,13.6161,26.01,100,100,18.01,AT,1611675083
309,kapchorwa,1.3965,34.4509,69.48,35,66,6.96,UG,1611675083
310,severo-kurilsk,50.6789,156.125,22.98,94,81,20.45,RU,1611675083
311,khatanga,71.9667,102.5,-23.93,84,95,6.67,RU,1611675083
312,torbay,47.6666,-52.7314,34.0,100,90,17.27,CA,1611675083
313,alice springs,-23.7,133.8833,77.0,88,97,5.75,AU,1611675083
314,micheweni,-4.9667,39.8333,79.97,78,0,11.83,TZ,1611675083
315,san cristobal,7.7669,-72.225,82.4,61,40,4.61,VE,1611675084
316,axim,4.8699,-2.2405,82.62,73,97,10.98,GH,1611675084
317,lewisville,33.0462,-96.9942,42.01,70,1,12.66,US,1611675084
318,qostanay,53.1667,63.5833,23.0,80,0,15.66,KZ,1611675084
319,oussouye,12.485,-16.5469,100.4,33,0,6.91,SN,1611675084
320,mareeba,-17.0,145.4333,77.0,83,100,8.05,AU,1611675085
321,terrace bay,48.7834,-87.1,3.2,85,90,10.36,CA,1611675085
322,peace river,56.2501,-117.286,-2.0,78,90,10.36,CA,1611675085
323,rosita,13.9268,-84.4032,82.47,69,46,3.38,NI,1611675085
324,espanola,35.9911,-106.0806,24.01,100,90,10.36,US,1611675085
325,waspan,14.7419,-83.9717,78.4,85,27,7.09,NI,1611675085
326,fastiv,50.0767,29.9177,35.6,69,90,15.66,UA,1611675085
327,casablanca,33.5928,-7.6192,68.0,68,0,16.11,MA,1611674998
328,hami,42.8,93.45,21.09,78,91,4.29,CN,1611675086
329,san quintin,30.4833,-115.95,53.53,65,100,24.87,MX,1611675086
330,tianpeng,30.9866,103.9393,54.0,71,40,4.47,CN,1611675008
331,mitsamiouli,-11.3847,43.2844,82.26,64,37,0.34,KM,1611675086
332,yelanskiy,56.8419,62.5014,22.93,96,100,8.79,RU,1611675086
333,bonthe,7.5264,-12.505,85.3,60,0,12.86,SL,1611675086
334,norman wells,65.282,-126.8329,-18.4,76,90,2.3,CA,1611675086
335,pedreira,-22.7419,-46.9014,86.0,54,20,10.36,BR,1611675086
336,hay river,60.8156,-115.7999,-9.4,77,94,3.44,CA,1611675086
337,maur,30.0833,75.25,51.98,43,0,4.81,IN,1611675087
338,kindu,-2.95,25.95,87.31,53,52,2.59,CD,1611674960
339,geraldton,-28.7667,114.6,68.4,74,74,18.61,AU,1611675088
340,tura,25.5198,90.2201,58.06,46,0,1.99,IN,1611675088
341,talnakh,69.4865,88.3972,-24.83,81,100,11.18,RU,1611675088
342,stefanestii de jos,44.5333,26.2,37.0,93,90,7.27,RO,1611675088
343,billings,45.7833,-108.5007,19.99,86,90,8.05,US,1611674820
344,port-gentil,-0.7193,8.7815,86.0,79,40,12.66,GA,1611675088
345,yumen,40.2833,97.2,21.81,75,41,27.72,CN,1611675088
346,cururupu,-1.8283,-44.8683,89.26,54,56,8.25,BR,1611675088
347,marystown,47.1666,-55.1483,35.71,83,99,15.37,CA,1611675044
348,rodrigues alves,-7.738,-72.6509,86.0,74,75,4.61,BR,1611675088
349,katsuura,35.1333,140.3,50.0,76,75,3.44,JP,1611675089
350,male,4.1748,73.5089,82.4,74,75,11.5,MV,1611674863
351,mariel,22.9875,-82.7536,77.0,78,20,3.44,CU,1611675089
352,bud,39.447,-86.1758,37.99,98,87,12.77,US,1611675089
353,paracatu,-17.2222,-46.8747,81.97,65,41,6.91,BR,1611675089
354,aklavik,68.2191,-135.0107,-11.2,84,100,8.5,CA,1611675089
355,oltu,40.5498,42.0013,27.21,81,23,6.8,TR,1611675089
356,bouar,5.934,15.596,89.82,17,84,6.71,CF,1611675089
357,aksarka,66.5606,67.7975,-26.27,85,98,13.51,RU,1611675089
358,kalmunai,7.4167,81.8167,74.66,77,31,8.84,LK,1611675089
359,mangrol,21.1167,70.1167,67.98,29,19,16.98,IN,1611675089
360,plettenberg bay,-34.0527,23.3716,71.92,74,53,8.28,ZA,1611675089
361,kaarina,60.4072,22.369,32.0,93,75,4.61,FI,1611675089
362,cap malheureux,-19.9842,57.6142,79.0,82,49,1.01,MU,1611675090
363,baruun-urt,46.6806,113.2792,-12.12,82,0,9.44,MN,1611675090
364,tra vinh,9.9347,106.3453,75.99,78,53,9.15,VN,1611675090
365,pedernales,18.0384,-71.744,83.25,44,15,1.39,DO,1611675090
366,kavaratti,10.5669,72.642,81.52,70,1,9.46,IN,1611675090
367,sovetsk,55.0839,21.8785,32.56,95,100,15.97,RU,1611675090
368,emerald,-23.5333,148.1667,78.8,69,1,8.05,AU,1611675090
369,bacolod,10.6667,122.95,76.78,83,95,11.9,PH,1611675090
